gene_id	KO_1	KO_2	KO_3	WT_1	WT_2	WT_3
ENSG00000178752	25.25754	34.093105	32.494301	24.304894	36.31703	35.356919
ENSG00000178836	0	0	0	0	0	0
ENSG00000179270	0	0	0	0	0.053241	0
ENSG00000179528	0	0	0	0	1.731972	0
ENSG00000179833	322.110499	346.192118	320.982345	235.617106	234.46176	253.661981
ENSG00000179915	0	0	0	0	0	0.233141
ENSG00000179921	0.266075	0.473103	0.874729	0	0.48921	1.789211
ENSG00000179997	0	0	0	0	0	0
ENSG00000180105	3.129074	1.030528	2.146545	1.895614	1.821567	1.033425
ENSG00000180152	1.12872	1.14054	1.174808	0	0	0
ENSG00000180178	14.456291	15.002379	18.363942	36.584765	74.559035	47.292671
ENSG00000180228	570.781094	580.772886	586.866	608.685179	595.114936	572.521671
ENSG00000180251	1.592578	1.874744	1.860644	1.298766	3.148992	1.900849
ENSG00000180398	1580.461098	1645.833753	1655.074558	1674.696684	1725.125002	1686.719586
ENSG00000180871	0	0	0	0	0	0
ENSG00000180902	127.043867	120.640744	171.015804	127.272512	140.171604	120.874171
ENSG00000181378	0	0	0	0	0	0
ENSG00000182083	0	0	0	0	0	0
ENSG00000182177	0.337183	0.496159	0.724514	0.454193	1.049957	0.562632
ENSG00000182187	0	0	0	0	0	0
ENSG00000182263	32.252628	37.907585	40.056064	37.885268	48.254526	42.472464
ENSG00000182329	1.096521	1.378551	1.572677	0.945878	1.254448	1.406548
ENSG00000182389	2.32058	3.185784	3.478753	1.571101	2.110087	1.003062
ENSG00000182551	2660.452032	2644.171623	2589.542799	2616.770566	2617.720522	2587.188329
ENSG00000182600	17.025388	20.249169	15.93367	10.997286	11.562771	18.686888
ENSG00000182698	0	0	0	0	0	0
ENSG00000182814	0	0	2.066534	0	0	0
ENSG00000183022	7.101954	2.315087	10.781296	4.272003	6.394988	18.051035
ENSG00000183023	0.967301	0.669712	1.872807	1.677807	1.446425	0.564905
ENSG00000183054	87.613955	88.894661	95.93256	95.603795	94.610054	82.486136
ENSG00000183091	0.681342	1.265384	1.118614	0	0.207552	1.418724
ENSG00000183281	40.20723	31.723622	28.866715	24.485881	23.094256	36.031168
ENSG00000183292	0	0	0	0	0	0
ENSG00000183513	597.094859	505.573342	629.384398	470.35845	473.205033	430.719377
ENSG00000183514	0	0	1.437125	0	0	1.347466
ENSG00000183607	8.242044	12.620502	0	10.737824	5.187439	7.142113
ENSG00000183671	29.891256	23.478242	29.330737	12.36817	13.616469	13.304004
ENSG00000183733	0	0	0	0	0	0
ENSG00000183840	7.452132	10.51093	8.08814	7.426429	7.385306	6.30321
ENSG00000183891	342.253777	316.54198	349.057065	294.470258	307.06129	276.135373
ENSG00000184115	0	0	0	0	0	0
ENSG00000184182	527.169507	563.459181	520.476783	531.290729	524.31806	515.278806
ENSG00000184261	0	0	0	0.036343	0	0
ENSG00000184303	0	0	0	0	0	0
ENSG00000184492	1.092996	2.394678	1.370542	0.98929	2.472604	0.62309
ENSG00000184611	0	0	0	0	0	0
ENSG00000184731	37.353698	41.077294	54.635102	49.182968	51.140526	58.725506
ENSG00000184761	0	0	0	0	0	0
ENSG00000184898	23.074941	19.719759	21.283624	18.617538	22.104604	16.225054
ENSG00000184924	881.763226	917.091568	773.281123	871.30549	789.307872	788.878932
ENSG00000184945	0	0	0	0	0	0
ENSG00000185013	0	0	0	0	0	0
ENSG00000185038	6.26904	7.822258	2.946013	5.752197	4.062627	3.412681
ENSG00000185078	1.666537	0	0	0	0	0
ENSG00000185176	0	0	0	0	0	0
ENSG00000185304	0	3.397627	0	0.82545	0	0
ENSG00000185404	8.256238	8.639461	10.136288	7.936268	8.49471	6.82474
ENSG00000185414	2597.290174	2374.685289	2718.731963	3074.617945	2676.279893	3106.87337
ENSG00000185631	2.499607	2.433685	0	2.209875	2.200635	0
ENSG00000185674	4.272975	1.405922	1.05786	0	0	0
ENSG00000186132	314.650993	307.404268	369.906611	310.132415	289.84405	336.879462
ENSG00000186143	0.244465	0	0	0	0	0
ENSG00000186148	0	0	0	0	0	0
ENSG00000186281	0	0	0	0	0	0
ENSG00000186453	0	0	0	0	0	0
